SMILES,num_rotable_bonds,rotable_proportion,non_rotable_proportion,molecular_formular,molecular_mass,carbon_mass,hydrogen_mass,nitrogen_mass,oxygen_mass,carbon_mass_ratio,hydrogen_mass_ratio,nitrogen_mass_ratio,oxygen_mass_ratio,num_carbon_atoms,num_hydrogen_atoms,num_nitrogen_atoms,num_oxygen_atoms,carbon_atom_ratio,hydrogen_atom_ratio,nitrogen_atom_ratio,oxygen_atom_ratio,num_atoms,degree_of_unsaturation,num_hydrogen_bond_acceptors,num_hydrogen_bond_donors,num_valence_electrons,num_lipinski_violations,num_chiral_centers,rings_cyclopropane_count,rings_spiropentane_count,rings_cyclobutane_count,rings_cyclopentane_count,rings_furan_count,rings_thiophene_count,rings_pyrrole_count,rings_2h_pyrrole_count,rings_3h_pyrrole_count,rings_pyrazole_count,rings_2h_imidazole_count,"rings_1,2,3_triazole_count","rings_1,2,4_triazole_count","rings_1,2_dithiole_count","rings_1,3_dithiole_count","rings_3h_1,2_oxathiole_count",rings_isoxazole_count,rings_oxazole_count,rings_thiazole_count,rings_isothiazole_count,"rings_1,2,3_oxadiazole_count","rings_1,2,4_oxadiazole_count","rings_1,2,5_oxadiazole_count","rings_1,3,4_oxadiazole_count","rings_1,2,3,4_oxatriazole_count","rings_1,2,3,5_oxatriazole_count","rings_3h_1,2,3_dioxazole_count","rings_1,2,4_dioxazole_count","rings_1,3,2_dioxazole_count","rings_1,3,4_dioxazole_count","rings_5h_1,2,5_oxathiazole_count","rings_1,3_oxathiole_count",rings_benzene_count,rings_cyclohexane_count,rings_2h_pyran_count,rings_4h_pyran_count,rings_2h_pyran_2_one_count,rings_4h_pyran_4_one_count,"rings_1,2_dioxin_count","rings_1,3_dioxin_count",rings_pyridine_count,rings_pyridazine_count,rings_pyrimidine_count,rings_pyrazine_count,rings_piperazine_count,"rings_1,3,5_triazine_count","rings_1,2,4_triazine_count","rings_1,2,3_triazine_count","rings_4h_1,2_oxazine_count","rings_2h_1,3_oxazine_count","rings_6h_1,3_oxazine_count","rings_6h_1,2_oxazine_count","rings_1,4_oxazine_count","rings_2h_1,2_oxazine_count","rings_4h_1,4_oxazine_count","rings_1,2,5_oxathiazine_count","rings_1,2,6_oxathiazine_count","rings_1,2,4_oxadiazine_count","rings_1,3,5_oxadiazine_count",rings_morpholine_count,rings_azepine_count,rings_oxepin_count,rings_thiepin_count,"rings_4h_1,2_diazepine_count",rings_indene_count,rings_2h_indene_count,rings_benzofuran_count,rings_isobenzofuran_count,rings_benzo_b_thiophene_count,rings_benzo_c_thiophene_count,rings_indole_count,rings_3h_indole_count,rings_1h_indole_count,rings_cyclopenta_b_pyridine_count,"rings_pyrano_3,4_b__pyrrole_count",rings_indazole_count,rings_benzisoxazole_count,rings_benzoxazole_count,"rings_2,1_benzisoxazole_count",rings_naphthalene_count,"rings_1,2,3,4_tetrahydronaphthalene_count",rings_octahydronaphthalene_count,rings_2h_1_benzopyran_count,rings_2h_1_benzopyran_2_one_count,rings_4h_1_benzopyran_4_one_count,rings_1h_2_benzopyran_1_one_count,rings_3h_2_benzopyran_1_one_count,rings_quinoline_count,rings_isoquinoline_count,rings_cinnoline_count,rings_quinazoline_count,"rings_1,8_napthyhridine_count","rings_1,7_napththyridine_count","rings_1,5_napththridine_count","rings_1,6_napthyridine_count","rings_2h_1,3_benzoxazine_count","rings_2h_1,4_benzoxazine_count","rings_1h_2,3_benzoxazine_count","rings_4h_3,1_benzoxazine_count","rings_2h_1,2_benzoxazine_count","rings_4h_1,3_benzoxazine_count",rings_anthracene_count,rings_phenanthrene_count,rings_phenalene_count,rings_fluorene_count,rings_carbazole_count,rings_xanthene_count,rings_acridine_count,rings_norpinane_count,rings_7h_purine_count,rings_steroid_ring_system_count,weisfeiler_lehman_hash,num_carbon_environments,rotational_symmetry_number,point_group,monoisotopic_molecular_mass
CC(C)NCC(O)COc1cccc2ccccc12.[Cl],6,0.3,0.7,C16H21ClNO2,294.802,192.17599999999996,21.16799999999999,14.007,31.998,0.6518816018887251,0.07180412615925261,0.047513246178791185,0.10854064762111519,16,21,1,2,0.3902439024390244,0.5121951219512195,0.024390243902439025,0.04878048780487805,41,6.0,3,2,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3065da8284e28f3409fd5fe44e061919,15,1,C1,294.126081592
CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,9,0.4782608695652174,0.5217391304347826,C18H27Cl2NO2,360.32500000000005,216.19799999999995,27.215999999999983,14.007,31.998,0.6000083258169706,0.07553181155900918,0.03887323943661971,0.08880316381044889,18,27,1,2,0.36,0.54,0.02,0.04,50,5.0,3,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ff85be0335e2104d0319ee8d6cbc9a93,12,1,C1,359.141884464
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,2,0.06896551724137931,0.9310344827586207,C18H20FN3O4,361.37300000000005,216.19799999999995,20.15999999999999,42.021,63.996,0.5982682712875614,0.05578723368929053,0.11628151522111502,0.1770912602767777,18,20,3,4,0.391304347826087,0.43478260869565216,0.06521739130434782,0.08695652173913043,46,10.0,6,1,138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b3a6a4477c0eb93dfbabcd246e999ba7,16,1,C1,361.14378433999997
CC(=O)NCCCOc1cccc(CN2CCCCC2)c1,7,0.36363636363636365,0.6363636363636364,C17H26N2O2,290.40700000000004,204.18699999999995,26.207999999999984,28.014,31.998,0.703106330081575,0.09024575853887813,0.09646461689973036,0.11018329447981624,17,26,2,2,0.3617021276595745,0.5531914893617021,0.0425531914893617,0.0425531914893617,47,6.0,3,1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84fce8f61a2bd6e3650719d4b63a3e6d,15,1,C1,290.199428072
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,4,0.15625,0.84375,C19H18ClN3O5S,435.8890000000002,228.20899999999995,18.14399999999999,42.021,79.995,0.5235484263195443,0.04162527615975623,0.09640298332832438,0.1835214928571264,19,18,3,5,0.40425531914893614,0.3829787234042553,0.06382978723404255,0.10638297872340426,47,12.0,6,2,152,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5c2cb95fafd221793a34032a989e127e,18,1,C1,435.0655693559999
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,9,0.25,0.75,C25H27N9O8S2,645.6800000000003,300.27500000000003,27.215999999999983,126.06300000000002,127.99199999999999,0.4650523479122784,0.042150910667823026,0.19524067649609708,0.19822822450749586,25,27,9,8,0.352112676056338,0.38028169014084506,0.1267605633802817,0.11267605633802817,71,17.0,13,4,232,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0dc23eff8c59a3fef74bab9bc5e5f61c,23,1,C1,645.1424008240001
CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,4,0.09523809523809523,0.9047619047619048,C27H33N3O8,527.5740000000002,324.2970000000001,33.26399999999998,42.021,127.99199999999999,0.6146948105858135,0.06305087058877043,0.07964948992937482,0.242604828896041,27,33,3,8,0.38028169014084506,0.4647887323943662,0.04225352112676056,0.11267605633802817,71,13.0,11,6,204,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b87c1e0b8fb405bb7fab8d5e1c24bbfe,24,1,C1,527.2267650159998
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,2,0.08,0.92,C18H19N3O,293.37000000000006,216.19799999999995,19.15199999999999,42.021,15.999,0.7369465180488799,0.06528274874731563,0.14323550465282747,0.054535228550976575,18,19,3,1,0.43902439024390244,0.4634146341463415,0.07317073170731707,0.024390243902439025,41,11.0,4,0,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0ba5b46abf873b1a4320bda750f068bf,18,1,C1,293.152812228
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,6,0.22580645161290322,0.7741935483870968,C22H26N2O4S,414.52700000000016,264.24199999999996,26.207999999999984,28.014,63.996,0.6374542550907416,0.06322386720286007,0.0675806401030572,0.1543831885498411,22,26,2,4,0.4,0.4727272727272727,0.03636363636363636,0.07272727272727272,55,11.0,6,0,154,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6b8c8ea62cd6c70c7f0792c95ed1b194,19,1,C1,414.1613283119999
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,1,0.13333333333333333,0.8666666666666667,C6H8ClN7O,229.63099999999997,72.06599999999999,8.064,98.049,15.999,0.31383393357168676,0.03511720978439323,0.42698503250867703,0.06967264872774147,6,8,7,1,0.2608695652173913,0.34782608695652173,0.30434782608695654,0.043478260869565216,23,6.0,5,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cc767fe35080945047f89b506d496190,6,1,C1,229.04788555599998
